symbol,exchange,date,adjusted close,option symbol,expiration,strike,call/put,style,ask,bid,mean price,iv,volume,open interest,stock price for iv,*,delta,vega,gamma,theta,rho
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01840000,03/31/17,1840,P,E,0.05,0,0,0.281087,0,655,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01850000,03/31/17,1850,C,E,524.2,512.8,518.5,0.285146,0,10,2368.927,*,0.999946,0,0,0,0.050684
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01850000,03/31/17,1850,P,E,0.05,0,0,0.281087,0,15583,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01860000,03/31/17,1860,C,E,514.2,502.8,508.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.050958
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01860000,03/31/17,1860,P,E,0.05,0,0,0.281087,0,2145,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01870000,03/31/17,1870,C,E,504.2,492.8,498.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.051231
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01870000,03/31/17,1870,P,E,0.05,0,0,0.281087,0,1484,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01875000,03/31/17,1875,C,E,499.2,487.8,493.5,0.285146,0,11,2368.927,*,0.999946,0,0,0,0.051368
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01875000,03/31/17,1875,P,E,0.05,0,0,0.281087,0,5063,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01880000,03/31/17,1880,C,E,494.2,482.8,488.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.051505
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01880000,03/31/17,1880,P,E,0.05,0,0,0.281087,0,1128,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01885000,03/31/17,1885,C,E,489.2,477.8,483.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.051642
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01885000,03/31/17,1885,P,E,0.05,0,0,0.281087,0,1182,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01890000,03/31/17,1890,C,E,484,473,478.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.051779
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01890000,03/31/17,1890,P,E,0.05,0,0,0.281087,0,3099,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01895000,03/31/17,1895,C,E,479,468,473.5,0.285146,0,1,2368.927,*,0.999946,0,0,0,0.051916
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01895000,03/31/17,1895,P,E,0.05,0,0,0.281087,0,1591,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01900000,03/31/17,1900,C,E,474.2,462.8,468.5,0.285146,0,4,2368.927,*,0.999946,0,0,0,0.052053
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01900000,03/31/17,1900,P,E,0.05,0,0,0.281087,0,18184,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01905000,03/31/17,1905,C,E,469.8,458,463.9,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.05219
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01905000,03/31/17,1905,P,E,0.05,0,0,0.281087,0,340,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01910000,03/31/17,1910,C,E,464.8,453,458.9,0.285146,0,1,2368.927,*,0.999946,0,0,0,0.052327
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01910000,03/31/17,1910,P,E,0.05,0,0,0.281087,0,2026,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01915000,03/31/17,1915,C,E,459.1,448,453.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.052464
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01915000,03/31/17,1915,P,E,0.05,0,0,0.281087,0,682,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01920000,03/31/17,1920,C,E,454.1,443,448.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.052601
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01920000,03/31/17,1920,P,E,0.05,0,0,0.281087,0,2325,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01925000,03/31/17,1925,C,E,449.1,438,443.55,0.285146,0,1,2368.927,*,0.999946,0,0,0,0.052738
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01925000,03/31/17,1925,P,E,0.05,0,0,0.281087,0,7168,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01930000,03/31/17,1930,C,E,444.1,433,438.55,0.285146,0,1,2368.927,*,0.999946,0,0,0,0.052875
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01930000,03/31/17,1930,P,E,0.05,0,0,0.281087,0,4344,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01935000,03/31/17,1935,C,E,439.3,427.8,433.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.053012
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01935000,03/31/17,1935,P,E,0.05,0,0,0.281087,0,697,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01940000,03/31/17,1940,C,E,434.3,422.8,428.55,0.285146,0,3,2368.927,*,0.999946,0,0,0,0.053149
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01940000,03/31/17,1940,P,E,0.05,0,0,0.281087,0,2566,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01945000,03/31/17,1945,C,E,429.1,418,423.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.053286
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01945000,03/31/17,1945,P,E,0.05,0,0,0.281087,0,4210,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01950000,03/31/17,1950,C,E,424.3,412.8,418.55,0.285146,0,611,2368.927,*,0.999946,0,0,0,0.053423
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01950000,03/31/17,1950,P,E,0.05,0,0,0.281087,0,24391,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01955000,03/31/17,1955,C,E,419.3,407.8,413.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.05356
